name,glon,glat,ra,dec,size_major,size_minor,size_flag,shape,shape_flag,flux,flux_flag,specindex,specindex_flag,othernames
G000.0+00.0,0.0,0.0,266.43333333333334,-29.0,3.5,2.5,,S,,100.0,?,0.8,?,['Sgr A East']
G000.3+00.0,0.3,0.0,266.5625,-28.633333333333333,15.0,8.0,,S,,22.0,,0.6,,[]
G000.9+00.1,0.9,0.1,266.8375,-28.15,8.0,8.0,,C,,18.0,?,,varies,[]
G001.0-00.1,1.0,-0.1,267.125,-28.15,8.0,8.0,,S,,15.0,,0.6,?,[]
G001.4-00.1,1.4,-0.1,267.4125,-27.766666666666666,10.0,10.0,,S,,2.0,?,,?,[]
G001.9+00.3,1.9,0.3,267.1875,-27.166666666666668,1.5,1.5,,S,,0.6,,0.6,,[]
G003.7-00.2,3.7,-0.2,268.85833333333335,-25.833333333333332,14.0,11.0,,S,,2.3,,0.65,,[]
G003.8+00.3,3.8,0.3,268.2291666666667,-25.466666666666665,18.0,18.0,,S,?,3.0,?,0.6,,[]
G004.2-03.5,4.2,-3.5,272.2291666666667,-27.05,28.0,28.0,,S,,3.2,?,0.6,?,[]
G004.5+06.8,4.5,6.8,262.675,-21.483333333333334,3.0,3.0,,S,,19.0,,0.64,,"['Kepler', ' SN1604', ' 3C358']"
G004.8+06.2,4.8,6.2,263.3541666666667,-21.566666666666666,18.0,18.0,,S,,3.0,,0.6,,[]
G005.2-02.6,5.2,-2.6,271.875,-25.75,18.0,18.0,,S,,2.6,?,0.6,?,[]
G005.4-01.2,5.4,-1.2,270.5416666666667,-24.9,35.0,35.0,,C,?,35.0,?,0.2,?,['Milne 56']
G005.5+00.3,5.5,0.3,269.26666666666665,-24.0,15.0,12.0,,S,,5.5,,0.7,,[]
G005.9+03.1,5.9,3.1,266.8333333333333,-22.266666666666666,20.0,20.0,,S,,3.3,?,0.4,?,[]
G006.1+00.5,6.1,0.5,269.37083333333334,-23.416666666666668,18.0,12.0,,S,,4.5,,0.9,,[]
G006.1+01.2,6.1,1.2,268.7291666666667,-23.083333333333332,30.0,26.0,,F,,4.0,?,0.3,?,[]
G006.4-00.1,6.4,-0.1,270.125,-23.433333333333334,48.0,48.0,,C,,310.0,,,varies,['W28']
G006.4+04.0,6.4,4.0,266.2916666666667,-21.366666666666667,31.0,31.0,,S,,1.3,?,0.4,?,[]
G006.5-00.4,6.5,-0.4,270.54583333333335,-23.566666666666666,18.0,18.0,,S,,27.0,,0.6,,[]
G007.0-00.1,7.0,-0.1,270.4583333333333,-22.9,15.0,15.0,,S,,2.5,?,0.5,?,[]
G007.2+00.2,7.2,0.2,270.27916666666664,-22.633333333333333,12.0,12.0,,S,,2.8,,0.6,,[]
G007.7-03.7,7.7,-3.7,274.3541666666667,-24.066666666666666,22.0,22.0,,S,,11.0,,0.32,,['1814-24']
G008.3-00.0,8.3,-0.0,271.14166666666665,-21.816666666666666,5.0,4.0,,S,,1.2,,0.6,,[]
G008.7-05.0,8.7,-5.0,276.0416666666667,-23.8,26.0,26.0,,S,,4.4,,0.3,,[]
G008.7-00.1,8.7,-0.1,271.375,-21.433333333333334,45.0,45.0,,S,?,80.0,,0.5,,['(W30)']
G008.9+00.4,8.9,0.4,270.9916666666667,-21.05,24.0,24.0,,S,,9.0,,0.6,,[]
G009.7-00.0,9.7,-0.0,271.84166666666664,-20.583333333333332,15.0,11.0,,S,,3.7,,0.6,,[]
G009.8+00.6,9.8,0.6,271.28333333333336,-20.233333333333334,12.0,12.0,,S,,3.9,,0.5,,[]
G009.9-00.8,9.9,-0.8,272.67083333333335,-20.716666666666665,12.0,12.0,,S,,6.7,,0.4,,[]
G010.5-00.0,10.5,-0.0,272.28333333333336,-19.783333333333335,6.0,6.0,,S,,0.9,,0.6,,[]
G011.0-00.0,11.0,-0.0,272.51666666666665,-19.416666666666668,11.0,9.0,,S,,1.3,,0.6,,[]
G011.1-01.0,11.1,-1.0,273.5125,-19.766666666666666,18.0,12.0,,S,,5.8,,0.5,,[]
G011.1-00.7,11.1,-0.7,273.19166666666666,-19.633333333333333,11.0,7.0,,S,,1.0,,0.7,,[]
G011.1+00.1,11.1,0.1,272.4458333333333,-19.2,12.0,10.0,,S,,2.3,,0.4,,[]
G011.2-00.3,11.2,-0.3,272.8625,-19.416666666666668,4.0,4.0,,C,,22.0,,0.5,,[]
G011.4-00.1,11.4,-0.1,272.6958333333333,-19.083333333333332,8.0,8.0,,S,?,6.0,,0.5,,[]
G011.8-00.2,11.8,-0.2,273.1041666666667,-18.733333333333334,4.0,4.0,,S,,0.7,,0.3,,[]
G012.0-00.1,12.0,-0.1,273.04583333333335,-18.616666666666667,7.0,7.0,?,,?,3.5,,0.7,,[]
G012.2+00.3,12.2,0.3,272.8208333333333,-18.166666666666668,6.0,5.0,,S,,0.8,,0.7,,[]
G012.5+00.2,12.5,0.2,273.05833333333334,-17.916666666666668,6.0,5.0,,C,?,0.6,,0.4,,[]
G012.7-00.0,12.7,-0.0,273.32916666666665,-17.9,6.0,6.0,,S,,0.8,,0.8,,[]
G012.8-00.0,12.8,-0.0,273.40416666666664,-17.816666666666666,3.0,3.0,,C,?,0.8,,0.5,,[]
G013.3-01.3,13.3,-1.3,274.8333333333333,-18.0,70.0,40.0,,S,?,,?,,?,[]
G013.5+00.2,13.5,0.2,273.55833333333334,-17.2,5.0,4.0,,S,,3.5,?,1.0,?,[]
G014.1-00.1,14.1,-0.1,274.1666666666667,-16.683333333333334,6.0,5.0,,S,,0.5,,0.6,,[]
G014.3+00.1,14.3,0.1,273.9916666666667,-16.45,5.0,4.0,,S,,0.6,,0.4,,[]
G015.1-01.6,15.1,-1.6,276.0,-16.566666666666666,30.0,24.0,,S,?,5.5,?,0.0,?,[]
G015.4+00.1,15.4,0.1,274.5083333333333,-15.45,15.0,14.0,,S,,5.6,,0.62,,[]
G015.9+00.2,15.9,0.2,274.71666666666664,-15.033333333333333,7.0,5.0,,S,?,5.0,,0.63,,[]
G016.0-00.5,16.0,-0.5,275.48333333333335,-15.233333333333333,15.0,10.0,,S,,2.7,,0.6,,[]
G016.2-02.7,16.2,-2.7,277.4166666666667,-16.133333333333333,17.0,17.0,,S,,2.5,,0.4,,[]
G016.4-00.5,16.4,-0.5,275.65833333333336,-14.916666666666666,13.0,13.0,,S,,4.6,,0.3,?,[]
G016.7+00.1,16.7,0.1,275.23333333333335,-14.333333333333334,4.0,4.0,,C,,3.0,,0.6,,[]
G017.0-00.0,17.0,-0.0,275.4875,-14.133333333333333,5.0,5.0,,S,,0.5,,0.5,,[]
G017.4-02.3,17.4,-2.3,277.7291666666667,-14.866666666666667,24.0,24.0,?,S,,5.0,,0.5,?,[]
G017.4-00.1,17.4,-0.1,275.78333333333336,-13.766666666666667,6.0,6.0,,S,,0.4,,0.7,,[]
G017.8-02.6,17.8,-2.6,278.2083333333333,-14.65,24.0,24.0,,S,,5.0,,0.5,,[]
G018.1-00.1,18.1,-0.1,276.14166666666665,-13.183333333333334,8.0,8.0,,S,,4.6,,0.5,,[]
G018.6-00.2,18.6,-0.2,276.4791666666667,-12.833333333333334,6.0,6.0,,S,,1.4,,0.4,,[]
G018.8+00.3,18.8,0.3,275.9916666666667,-12.383333333333333,17.0,11.0,,S,,33.0,,0.46,,['Kes 67']
G018.9-01.1,18.9,-1.1,277.4583333333333,-12.966666666666667,33.0,33.0,,C,?,37.0,,0.39,,[]
G019.1+00.2,19.1,0.2,276.23333333333335,-12.116666666666667,27.0,27.0,,S,,10.0,,0.5,,[]
G020.0-00.2,20.0,-0.2,277.02916666666664,-11.583333333333334,10.0,10.0,,F,,10.0,,0.1,,[]
G020.4+00.1,20.4,0.1,276.9625,-11.0,8.0,8.0,,S,?,9.0,?,0.1,?,[]
G021.0-00.4,21.0,-0.4,277.8,-10.783333333333333,9.0,7.0,,S,,1.1,,0.6,,[]
G021.5-00.9,21.5,-0.9,278.3875,-10.583333333333334,5.0,5.0,,C,,7.0,,,varies,[]
G021.5-00.1,21.5,-0.1,277.7083333333333,-10.15,5.0,5.0,,S,,0.4,,0.5,,[]
G021.6-00.8,21.6,-0.8,278.4166666666667,-10.416666666666666,13.0,13.0,,S,,1.4,,0.5,?,[]
G021.8-00.6,21.8,-0.6,278.1875,-10.133333333333333,20.0,20.0,,S,,65.0,,0.56,,['Kes 69']
G022.7-00.2,22.7,-0.2,278.3125,-9.216666666666667,26.0,26.0,,S,?,33.0,,0.6,,[]
G023.3-00.3,23.3,-0.3,278.6875,-8.8,27.0,27.0,,S,,70.0,,0.5,,['W41']
G023.6+00.3,23.6,0.3,278.2625,-8.216666666666667,10.0,10.0,?,,?,8.0,?,0.3,,[]
G024.7-00.6,24.7,-0.6,279.6791666666667,-7.533333333333333,15.0,15.0,?,S,?,8.0,,0.5,,[]
G024.7+00.6,24.7,0.6,278.5416666666667,-7.083333333333333,30.0,15.0,,C,?,20.0,?,0.2,?,[]
G025.1-02.3,25.1,-2.3,281.2916666666667,-8.0,80.0,30.0,?,S,,8.0,,0.5,?,[]
G027.4+00.0,27.4,0.0,280.32916666666665,-4.933333333333334,4.0,4.0,,S,,6.0,,0.68,,['4C-04.71']
G027.8+00.6,27.8,0.6,279.9583333333333,-4.4,50.0,30.0,,F,,30.0,,,varies,[]
G028.6-00.1,28.6,-0.1,280.9791666666667,-3.8833333333333333,13.0,9.0,,S,,3.0,?,,?,[]
G028.8+01.5,28.8,1.5,279.75,-2.9166666666666665,100.0,100.0,?,S,?,,?,0.4,?,[]
G029.6+00.1,29.6,0.1,281.21666666666664,-2.95,5.0,5.0,,S,,1.5,?,0.5,?,[]
G029.7-00.3,29.7,-0.3,281.6041666666667,-2.9833333333333334,3.0,3.0,,C,,10.0,,0.63,,['Kes 75']
G030.7-02.0,30.7,-2.0,283.6041666666667,-2.9,16.0,16.0,,,?,0.5,?,0.7,?,[]
G030.7+01.0,30.7,1.0,281.0,-1.5333333333333332,24.0,18.0,,S,?,6.0,,0.4,,[]
G031.5-00.6,31.5,-0.6,282.7916666666667,-1.5166666666666666,18.0,18.0,?,S,?,2.0,?,,?,[]
G031.9+00.0,31.9,0.0,282.3541666666667,-0.9166666666666666,7.0,5.0,,S,,25.0,,,varies,['3C391']
G032.0-04.9,32.0,-4.9,286.5,-3.0,60.0,60.0,?,S,?,22.0,?,0.5,?,['3C396.1']
G032.1-00.9,32.1,-0.9,283.2916666666667,-1.1333333333333333,40.0,40.0,?,C,?,,?,,?,[]
G032.4+00.1,32.4,0.1,282.5208333333333,-0.4166666666666667,6.0,6.0,,S,,0.25,?,,?,[]
G032.8-00.1,32.8,-0.1,282.8541666666667,-0.13333333333333333,17.0,17.0,,S,?,11.0,?,0.2,?,['Kes 78']
G033.2-00.6,33.2,-0.6,283.4583333333333,-0.03333333333333333,18.0,18.0,,S,,3.5,,,varies,[]
G033.6+00.1,33.6,0.1,283.2,0.6833333333333333,10.0,10.0,,S,,20.0,,0.51,,"['Kes 79', ' 4C00.70', ' HC13']"
G034.7-00.4,34.7,-0.4,284.0,1.3666666666666667,35.0,27.0,,C,,250.0,,0.37,,"['W44', ' 3C392']"
G035.6-00.4,35.6,-0.4,284.4791666666667,2.216666666666667,15.0,11.0,,S,?,9.0,,0.5,,[]
G036.6-00.7,36.6,-0.7,285.1458333333333,2.9333333333333336,25.0,25.0,?,S,?,1.0,,0.7,?,[]
G036.6+02.6,36.6,2.6,282.20416666666665,4.433333333333334,17.0,13.0,?,S,,0.7,?,0.5,?,[]
G038.7-01.3,38.7,-1.3,286.6666666666667,4.466666666666667,32.0,19.0,?,S,,,?,,?,[]
G039.2-00.3,39.2,-0.3,286.03333333333336,5.466666666666667,8.0,6.0,,C,,18.0,,0.34,,"['3C396', ' HC24', ' NRAO 593']"
G039.7-02.0,39.7,-2.0,288.0833333333333,4.916666666666667,120.0,60.0,,,?,85.0,?,0.7,?,"['W50', ' SS433']"
G040.5-00.5,40.5,-0.5,286.7916666666667,6.516666666666667,22.0,22.0,,S,,11.0,,0.4,,[]
G041.1-00.3,41.1,-0.3,286.89166666666665,7.133333333333334,4.5,2.5,,S,,25.0,,0.5,,['3C397']
G041.5+00.4,41.5,0.4,286.4583333333333,7.766666666666667,10.0,10.0,,S,?,1.0,?,,?,[]
G042.0-00.1,42.0,-0.1,287.0416666666667,8.0,8.0,8.0,,S,?,0.5,?,,?,[]
G042.8+00.6,42.8,0.6,286.8333333333333,9.083333333333334,24.0,24.0,,S,,3.0,?,0.5,?,[]
G043.3-00.2,43.3,-0.2,287.78333333333336,9.1,4.0,3.0,,S,,38.0,,0.46,,['W49B']
G043.9+01.6,43.9,1.6,286.4583333333333,10.5,60.0,60.0,?,S,?,9.0,,0.5,,[]
G045.7-00.4,45.7,-0.4,289.1041666666667,11.15,22.0,22.0,,S,,4.2,?,0.4,?,[]
G046.8-00.3,46.8,-0.3,289.5416666666667,12.15,17.0,13.0,,S,,17.0,,0.54,,['(HC30)']
G049.2-00.7,49.2,-0.7,290.9583333333333,14.1,30.0,30.0,,S,?,160.0,?,0.3,?,['(W51)']
G053.6-02.2,53.6,-2.2,294.7083333333333,17.233333333333334,33.0,28.0,,S,,8.0,,0.5,,"['3C400.2', ' NRAO 611']"
G054.1+00.3,54.1,0.3,292.62916666666666,18.866666666666667,12.0,12.0,?,C,?,0.5,,0.1,,[]
G054.4-00.3,54.4,-0.3,293.3333333333333,18.933333333333334,40.0,40.0,,S,,28.0,,0.5,,['(HC40)']
G055.0+00.3,55.0,0.3,293.0,19.833333333333332,20.0,15.0,?,S,,0.5,?,0.5,?,[]
G055.7+03.4,55.7,3.4,290.3333333333333,21.733333333333334,23.0,23.0,,S,,1.0,?,0.3,?,[]
G057.2+00.8,57.2,0.8,293.74583333333334,21.95,12.0,12.0,?,S,?,1.8,,0.62,,['(4C21.53)']
G059.5+00.1,59.5,0.1,295.6375,23.583333333333332,15.0,15.0,,S,,3.0,?,,?,[]
G059.8+01.2,59.8,1.2,294.7291666666667,24.316666666666666,20.0,16.0,?,,?,1.5,,0.0,,[]
G063.7+01.1,63.7,1.1,296.96666666666664,27.75,8.0,8.0,,F,,1.8,,0.24,,[]
G064.5+00.9,64.5,0.9,297.6041666666667,28.266666666666666,8.0,8.0,,S,?,0.15,?,0.5,,[]
G065.1+00.6,65.1,0.6,298.6666666666667,28.583333333333332,90.0,50.0,,S,,5.5,,0.61,,[]
G065.3+05.7,65.3,5.7,293.25,31.166666666666668,310.0,240.0,,S,?,42.0,,0.6,,[]
G065.7+01.2,65.7,1.2,298.0416666666667,29.433333333333334,22.0,22.0,,F,,5.1,,,varies,['DA 495']
G065.8-00.5,65.8,-0.5,299.8333333333333,28.633333333333333,10.0,6.0,?,S,,,?,,?,[]
G066.0-00.0,66.0,-0.0,299.4583333333333,29.05,31.0,25.0,?,S,,,?,,?,[]
G067.6+00.9,67.6,0.9,299.4375,30.883333333333333,50.0,45.0,?,S,,,?,,?,[]
G067.7+01.8,67.7,1.8,298.6333333333333,31.483333333333334,15.0,12.0,,S,,1.0,,0.61,,[]
G067.8+00.5,67.8,0.5,300.0,30.85,7.0,5.0,,,?,,?,,?,[]
G068.6-01.2,68.6,-1.2,302.1666666666667,30.616666666666667,23.0,23.0,,,?,1.1,,0.2,,[]
G069.0+02.7,69.0,2.7,298.3333333333333,32.916666666666664,80.0,80.0,?,,?,120.0,?,,varies,['CTB 80']
G069.7+01.0,69.7,1.0,300.6666666666667,32.71666666666667,16.0,14.0,,S,,2.0,,0.7,,[]
G073.9+00.9,73.9,0.9,303.5625,36.2,27.0,27.0,,S,?,9.0,,0.23,,[]
G074.0-08.5,74.0,-8.5,312.75,30.666666666666668,230.0,160.0,,S,,210.0,,,varies,['Cygnus Loop']
G074.9+01.2,74.9,1.2,304.0083333333333,37.2,8.0,6.0,,F,,9.0,,,varies,['CTB 87']
G076.9+01.0,76.9,1.0,305.5833333333333,38.71666666666667,9.0,9.0,,C,,2.0,?,,?,[]
G078.2+02.1,78.2,2.1,305.2083333333333,40.43333333333333,60.0,60.0,,S,,320.0,,0.51,,"['DR4', ' gamma Cygni SNR']"
G082.2+05.3,82.2,5.3,304.75,45.5,95.0,65.0,,S,,120.0,?,0.5,?,['W63']
G083.0-00.3,83.0,-0.3,311.7291666666667,42.86666666666667,9.0,7.0,,S,,1.0,,0.4,,[]
G084.2-00.8,84.2,-0.8,313.3333333333333,43.45,20.0,16.0,,S,,11.0,,0.5,,[]
G085.4+00.7,85.4,0.7,312.6666666666667,45.36666666666667,24.0,24.0,?,S,,,?,0.2,,[]
G085.9-00.6,85.9,-0.6,314.6666666666667,44.88333333333333,24.0,24.0,,S,,,?,0.2,,[]
G089.0+04.7,89.0,4.7,311.25,50.583333333333336,120.0,90.0,,S,,220.0,,0.38,,['HB21']
G093.3+06.9,93.3,6.9,313.1041666666667,55.35,27.0,20.0,,C,?,9.0,,0.45,,"['DA 530', ' 4C(T)55.38.1']"
G093.7-00.2,93.7,-0.2,322.3333333333333,50.833333333333336,80.0,80.0,,S,,65.0,,0.65,,"['CTB 104A', ' DA 551']"
G094.0+01.0,94.0,1.0,321.2083333333333,51.88333333333333,30.0,25.0,,S,,13.0,,0.45,,['3C434.1']
G096.0+02.0,96.0,2.0,322.625,53.983333333333334,26.0,26.0,,S,,0.35,,0.6,,[]
G106.3+02.7,106.3,2.7,336.875,60.833333333333336,60.0,24.0,,C,?,6.0,,0.6,,[]
